ear,yaw,pitch,roll,blink_rate,eye_closure_duration,face_presence,label
0.30,2,1,0,15,0.10,1,Focused
0.31,-3,0,1,16,0.12,1,Focused
0.29,4,-1,0,14,0.11,1,Focused
0.32,1,2,-1,17,0.10,1,Focused
0.28,-2,1,0,15,0.15,1,Focused
0.30,3,0,1,16,0.12,1,Focused
0.29,-4,-1,0,14,0.14,1,Focused
0.31,2,2,0,17,0.10,1,Focused
0.27,25,2,1,14,0.18,1,Distracted
0.26,-30,3,-1,15,0.20,1,Distracted
0.28,35,-2,2,16,0.17,1,Distracted
0.25,-28,4,-2,14,0.19,1,Distracted
0.27,22,-3,1,15,0.16,1,Distracted
0.26,-33,2,-1,14,0.18,1,Distracted
0.28,30,1,2,16,0.15,1,Distracted
0.25,-25,-2,-2,15,0.20,1,Distracted
0.15,1,-3,0,5,2.50,1,Sleepy
0.14,-2,-4,1,4,3.00,1,Sleepy
0.16,3,-2,-1,6,2.20,1,Sleepy
0.13,0,-3,0,3,3.50,1,Sleepy
0.15,-1,-4,1,5,2.80,1,Sleepy
0.14,2,-2,-1,4,3.20,1,Sleepy
0.16,-3,-3,0,6,2.40,1,Sleepy
0.13,1,-5,1,3,3.60,1,Sleepy
0.00,0,0,0,0,0.00,0,Absent
0.00,0,0,0,0,0.00,0,Absent
0.00,0,0,0,0,0.00,0,Absent
0.00,0,0,0,0,0.00,0,Absent
0.00,0,0,0,0,0.00,0,Absent
0.00,0,0,0,0,0.00,0,Absent
0.00,0,0,0,0,0.00,0,Absent
0.00,0,0,0,0,0.00,0,Absent
